rank	concept	char	languages	english
47352	00878086-a	🆄	5	
47353	00878926-n	🆅	5	
47354	00880102-v	🆆	5	
47355	00880658-v	🆇	5	
47356	00881329-v	🆈	5	curry favor
47357	00881901-v	🆉	5	
47358	00882580-a	🆊	5	
47359	00883635-v	🆋	5	
47360	00886448-a	🆌	5	
47361	00887472-a	🆍	5	
47362	00888200-a	🆏	5	
47363	00890320-n	🆐	5	
47364	00893878-v	🆛	5	
47365	00894029-a	🆜	5	
47366	00894365-v	🆝	5	
47367	00894551-a	🆞	5	
47368	00894627-a	🆟	5	well-balanced
47369	00896348-n	🆠	5	
47370	00898286-n	🆡	5	shadowboxing
47371	00900214-v	🆢	5	
47372	00900728-v	🆣	5	
47373	00901476-n	🆤	5	
47374	00901969-a	🆥	5	
47375	00903947-v	🆦	5	remit
47376	00905059-v	🆧	5	
47377	00905336-n	🆨	5	
47378	00905728-a	🆩	5	
47379	00905742-n	🆪	5	
47380	00906046-n	🆫	5	venography
47381	00907400-a	🆬	5	
47382	00908483-a	🆭	5	
47383	00911917-v	🇦	5	repudiate
47384	00912490-a	🇧	5	lumpy
47385	00912733-n	🇨	5	
47386	00913720-a	🇩	5	coniferous
47387	00914509-n	🇪	5	
47388	00915265-v	🇫	5	
47389	00915321-a	🇬	5	
47390	00915497-n	🇭	5	
47391	00915787-a	🇮	5	
47392	00916524-a	🇯	5	
47393	00916679-v	🇰	5	
47394	00917613-a	🇱	5	exchangeable
47395	00918176-n	🇲	5	
47396	00918644-n	🇳	5	
47397	00919513-n	🇴	5	
47398	00919813-a	🇵	5	
47399	00920357-n	🇶	5	
47400	00926141-a	🇷	5	
47401	00926932-v	🇸	5	
47402	00928476-v	🇹	5	contraindicate
47403	00929916-a	🇺	5	due
47404	00930009-v	🇻	5	
47405	00931070-a	🇼	5	unthought-of
47406	00933154-n	🇽	5	
47407	00934965-v	🇾	5	
47408	00935103-a	🇿	5	
47409	00935453-n	🈐	5	
47410	00936169-v	🈑	5	
47411	00936427-a	🈒	5	
47412	00936523-a	🈓	5	
47413	00937985-a	🈔	5	
47414	00939231-n	🈕	5	
47415	00939621-v	🈖	5	
47416	00942440-n	🈗	5	petroglyph
47417	00942871-a	🈘	5	
47418	00943281-v	🈙	5	
47419	00943599-a	🈛	5	describable
47420	00944247-v	🈜	5	
47421	00944449-a	🈝	5	
47422	00944965-n	🈞	5	venipuncture
47423	00945125-v	🈟	5	
47424	00946806-n	🈠	5	
47425	00948602-v	🈡	5	
47426	00950002-a	🈢	5	
47427	00951233-n	🈣	5	maglev
47428	00951399-v	🈤	5	nasalize
47429	00954271-v	🈥	5	
47430	00957743-a	🈦	5	foul
47431	00958475-a	🈧	5	honest
47432	00959530-a	🈨	5	
47433	00960094-a	🈩	5	
47434	00960453-v	🈪	5	mistranslate
47435	00961114-v	🈫	5	phrase
47436	00961329-v	🈬	5	
47437	00963671-a	🈭	5	
47438	00964110-v	🈮	5	
47439	00964470-a	🈰	5	
47440	00964952-n	🈱	5	trench warfare
47441	00966869-n	🈻	5	despoilment
47442	00968038-v	🉀	5	
47443	00969087-n	🉁	5	
47444	00969370-v	🉂	5	
47445	00969684-n	🉃	5	
47446	00970081-a	🉄	5	
47447	00970873-v	🉅	5	
47448	00973434-a	🉆	5	swank
47449	00975036-v	🉇	5	
47450	00975955-n	🉈	5	
47451	00977132-n	🉠	5	
47452	00977689-v	🉡	5	
47453	00980339-v	🉢	5	
47454	00980904-n	🉣	5	peacekeeping
47455	00985923-v	🉤	5	troat
47456	00986074-v	🉥	5	
47457	00986275-n	🌢	5	
47458	00986897-v	🌣	5	
47459	00987769-a	🎔	5	
47460	00988077-a	🎕	5	
47461	00988177-n	🎘	5	broadside
47462	00990249-v	🎜	5	harangue
47463	00991301-a	🎝	5	trim
47464	00991584-a	🏱	5	
47465	00995119-a	🏲	5	
47466	00995468-a	🏶	5	
47467	00996343-a	📾	5	gentle
47468	00997394-a	🔾	5	
47469	00998182-v	🔿	5	
47470	00999079-v	🕀	5	overwrite
47471	00999330-a	🕁	5	
47472	01000442-a	🕂	5	
47473	01001008-v	🕃	5	
47474	01001547-a	🕄	5	
47475	01003049-v	🕅	5	videotape
47476	01004318-a	🕆	5	
47477	01006313-n	🕇	5	
47478	01007495-v	🕈	5	
47479	01008289-a	🕏	5	
47480	01009507-n	🕨	5	
47481	01012395-v	🕩	5	
47482	01012855-a	🕪	5	
47483	01013961-a	🕫	5	ultimate
47484	01015689-n	🕬	5	conchology
47485	01015843-n	🕭	5	garbage collection
47486	01016748-n	🕮	5	
47487	01017001-v	🕱	5	
47488	01018800-v	🕲	5	
47489	01019129-n	🕻	5	
47490	01019808-v	🕼	5	
47491	01022992-n	🕽	5	disinheritance
47492	01023071-v	🕾	5	
47493	01025678-n	🕿	5	
47494	01028466-v	🖀	5	
47495	01028534-n	🖁	5	
47496	01030691-a	🖂	5	
47497	01031023-n	🖃	5	
47498	01031109-v	🖄	5	
47499	01032326-v	🖅	5	
47500	01032451-v	🖆	5	
47501	01039822-n	🖈	5	
47502	01040158-v	🖉	5	semaphore
47503	01042465-n	🖎	5	High Mass
47504	01042531-v	🖏	5	
47505	01042998-n	🖑	5	
47506	01043333-n	🖒	5	
47507	01043612-v	🖓	5	
47508	01044730-a	🖔	5	
47509	01045518-a	🖗	5	
47510	01046167-n	🖘	5	pyrolatry
47511	01046226-a	🖙	5	common
47512	01046815-v	🖚	5	sough
47513	01046984-n	🖛	5	
47514	01048466-n	🖜	5	
47515	01049606-v	🖝	5	
47516	01049941-a	🖞	5	
47517	01051828-v	🖟	5	
47518	01053098-v	🖠	5	
47519	01054047-a	🖡	5	
47520	01056236-n	🖢	5	
47521	01056804-n	🖣	5	pit stop
47522	01057053-n	🖦	5	
47523	01058291-n	🖧	5	gavage
47524	01059123-v	🖩	5	
47525	01059945-v	🖪	5	
47526	01060947-a	🖫	5	
47527	01062114-a	🖬	5	
47528	01063234-n	🖭	5	spring break
47529	01067003-a	🖮	5	
47530	01067194-v	🖯	5	
47531	01068184-n	🖰	5	
47532	01068438-a	🖳	5	
47533	01069989-v	🖴	5	
47534	01070102-v	🖵	5	
47535	01070455-v	🖶	5	etymologize
47536	01070538-a	🖷	5	
47537	01070716-a	🖸	5	
47538	01071762-v	🖹	5	
47539	01074509-v	🖺	5	
47540	01075164-v	🖻	5	
47541	01077263-a	🖽	5	
47542	01077829-a	🖾	5	
47543	01078235-v	🖿	5	ruff
47544	01079172-v	🗀	5	
47545	01080062-n	🗁	5	recusation
47546	01080235-v	🗅	5	
47547	01080691-v	🗆	5	
47548	01082937-v	🗇	5	
47549	01083754-a	🗈	5	
47550	01084091-a	🗉	5	
47551	01084180-n	🗊	5	
47552	01084486-a	🗋	5	
47553	01084644-a	🗌	5	
47554	01087740-n	🗍	5	
47555	01092128-v	🗎	5	
47556	01092981-v	🗏	5	
47557	01098869-v	🗐	5	
47558	01098968-n	🗔	5	
47559	01099810-a	🗕	5	
47560	01101416-v	🗖	5	
47561	01101571-v	🗗	5	
47562	01102058-a	🗘	5	all-purpose
47563	01102839-v	🗙	5	
47564	01102997-v	🗚	5	
47565	01104248-v	🗛	5	
47566	01106118-n	🗟	5	
47567	01106815-a	🗠	5	
47568	01112364-v	🗢	5	
47569	01112979-v	🗤	5	
47570	01113114-a	🗥	5	
47571	01113225-a	🗦	5	
47572	01113636-a	🗧	5	
47573	01113975-v	🗩	5	
47574	01118890-n	🗪	5	closeout
47575	01119250-n	🗫	5	garage sale
47576	01119421-a	🗬	5	
47577	01119950-v	🗭	5	
47578	01120759-v	🗮	5	
47579	01121178-v	🗰	5	
47580	01123415-v	🗱	5	
47581	01124246-n	🗲	5	
47582	01125154-a	🗴	5	
47583	01125241-a	🗵	5	
47584	01125562-n	🗶	5	
47585	01128719-a	🗷	5	
47586	01130560-n	🗸	5	
47587	01131993-n	🗹	5	
47588	01133374-a	🙐	5	
47589	01133760-n	🙑	5	
47590	01134653-v	🙒	5	misfire
47591	01134769-a	🙓	5	
47592	01135372-n	🙔	5	
47593	01135501-v	🙕	5	
47594	01137000-a	🙖	5	
47595	01139613-a	🙗	5	
47596	01141938-v	🙘	5	whale
47597	01142363-v	🙙	5	turtle
47598	01142843-n	🙚	5	
47599	01144657-v	🙛	5	
47600	01145422-a	🙜	5	
47601	01148710-v	🙝	5	
47602	01150662-n	🙞	5	
47603	01151097-n	🙟	5	
47604	01152396-v	🙠	5	
47605	01153762-v	🙡	5	get even
47606	01153861-n	🙢	5	patronage
47607	01153947-v	🙣	5	
47608	01154083-n	🙤	5	
47609	01154351-a	🙥	5	flocculent
47610	01156112-a	🙦	5	
47611	01156262-n	🙧	5	
47612	01156406-v	🙨	5	
47613	01158453-a	🙩	5	softhearted
47614	01161695-v	🙪	5	overuse
47615	01161947-v	🙫	5	run through
47616	01162901-a	🙬	5	
47617	01163083-a	🙭	5	
47618	01165579-v	🙮	5	
47619	01165919-n	🙯	5	
47620	01168259-v	🙰	5	
47621	01169433-v	🙱	5	
47622	01170823-a	🙲	5	
47623	01171213-a	🙳	5	
47624	01171396-a	🙴	5	
47625	01171746-a	🙵	5	
47626	01173208-v	🙶	5	
47627	01173569-n	🙷	5	counterblow
47628	01173656-v	🙸	5	
47629	01173933-v	🙹	5	
47630	01174251-n	🙺	5	lunge
47631	01174565-a	🙻	5	tumescent
47632	01174825-n	🙼	5	riposte
47633	01175099-n	🙽	5	
47634	01175195-n	🙾	5	
47635	01175316-n	🙿	5	
47636	01175937-v	🛆	5	drink up
47637	01176219-n	🛇	5	
47638	01176540-n	🛈	5	snickersnee
47639	01177556-a	🛉	5	jaundiced
47640	01177857-v	🛊	5	
47641	01178101-v	🛓	5	
47642	01178415-n	🛔	5	
47643	01178458-a	🛦	5	varicose
47644	01179167-n	🛧	5	
47645	01181661-a	🛨	5	
47646	01181741-v	🛪	5	
47647	01182152-v	🛱	5	
47648	01184333-v	🛲	5	
47649	01186192-n	🜀	5	
47650	01186578-n	🜁	5	receivership
47651	01186913-a	🜂	5	
47652	01187463-n	🜃	5	
47653	01187537-v	🜄	5	
47654	01188537-n	🜅	5	
47655	01189001-n	🜆	5	
47656	01189224-v	🜇	5	
47657	01189853-a	🜈	5	
47658	01190012-v	🜉	5	
47659	01191448-a	🜊	5	
47660	01191876-a	🜋	5	
47661	01193569-v	🜌	5	
47662	01195201-v	🜍	5	
47663	01197119-n	🜎	5	show trial
47664	01197208-v	🜏	5	
47665	01197258-n	🜐	5	
47666	01197928-n	🜑	5	
47667	01199009-v	🜒	5	
47668	01199365-n	🜓	5	
47669	01199881-v	🜔	5	
47670	01200339-a	🜕	5	
47671	01201429-n	🜖	5	separation
47672	01202105-a	🜗	5	homoerotic
47673	01202651-v	🜘	5	
47674	01203715-v	🜙	5	
47675	01204294-n	🜚	5	
47676	01205961-n	🜛	5	
47677	01207342-n	🜜	5	
47678	01207546-a	🜝	5	
47679	01210152-v	🜞	5	
47680	01211455-v	🜟	5	
47681	01213548-n	🜠	5	
47682	01215017-v	🜡	5	
47683	01216331-v	🜢	5	
47684	01217579-a	🜣	5	
47685	01219544-v	🜤	5	jack
47686	01219603-a	🜥	5	
47687	01219722-n	🜦	5	
47688	01220636-v	🜧	5	
47689	01223488-n	🜨	5	stigmatization
47690	01223833-v	🜩	5	
47691	01224211-v	🜪	5	
47692	01225772-a	🜫	5	
47693	01226997-a	🜬	5	time-honored
47694	01227488-v	🜭	5	
47695	01228159-a	🜮	5	
47696	01229020-a	🜯	5	
47697	01229561-a	🜰	5	
47698	01234167-a	🜱	5	
47699	01234223-v	🜲	5	shingle
47700	01237080-n	🜳	5	
47701	01238640-v	🜴	5	
47702	01238907-v	🜵	5	
47703	01239054-v	🜶	5	
47704	01240514-v	🜷	5	
47705	01241248-a	🜸	5	
47706	01242689-v	🜹	5	
47707	01244451-n	🜺	5	wildcat strike
47708	01245325-v	🜻	5	
47709	01245813-n	🜼	5	
47710	01246004-a	🜽	5	
47711	01247074-v	🜾	5	
47712	01248597-v	🜿	5	
47713	01249147-v	🝀	5	
47714	01249490-v	🝁	5	
47715	01250671-n	🝂	5	tyrannicide
47716	01252399-a	🝃	5	
47717	01252875-v	🝄	5	
47718	01253254-a	🝅	5	
47719	01253778-n	🝆	5	
47720	01254685-n	🝇	5	
47721	01255549-n	🝈	5	psalmody
47722	01256076-a	🝉	5	brumal
47723	01257507-v	🝊	5	
47724	01260685-v	🝋	5	
47725	01261371-v	🝌	5	render
47726	01261528-a	🝍	5	subhuman
47727	01265632-n	🝎	5	
47728	01270116-v	🝏	5	
47729	01270343-n	🝐	5	
47730	01271107-n	🝑	5	
47731	01271936-v	🝒	5	
47732	01272176-a	🝓	5	
47733	01273316-a	🝔	5	elusive
47734	01273814-v	🝕	5	
47735	01274104-v	🝖	5	
47736	01276194-n	🝗	5	
47737	01277755-n	🝘	5	
47738	01278232-n	🝙	5	El Alamein
47739	01279305-v	🝚	5	
47740	01279474-v	🝛	5	
47741	01281500-v	🝜	5	rabbet
47742	01281638-n	🝝	5	
47743	01286393-n	🝞	5	
47744	01286777-v	🝟	5	
47745	01287282-a	🝠	5	
47746	01287782-n	🝡	5	
47747	01288921-v	🝢	5	cable
47748	01289155-v	🝣	5	
47749	01290133-v	🝤	5	
47750	01290730-v	🝥	5	implant
47751	01291517-n	🝦	5	
47752	01291941-v	🝧	5	
47753	01292683-a	🝨	5	
47754	01293167-n	🝩	5	
47755	01293882-a	🝪	5	
47756	01294300-a	🝫	5	
47757	01300370-a	🝬	5	
47758	01300508-n	🝭	5	
47759	01300782-n	🝮	5	
47760	01300961-a	🝯	5	monkish
47761	01303252-n	🝰	5	
47762	01303934-n	🝱	5	
47763	01305099-v	🝲	5	
47764	01305796-n	🝳	5	
47765	01307020-v	🝴	5	
47766	01307299-n	🝵	5	Punic War
47767	01307609-v	🝶	5	
47768	01307850-a	🝻	5	
47769	01308681-v	🝼	5	
47770	01309395-n	🝽	5	
47771	01311067-a	🝾	5	
47772	01311378-v	🝿	5	
47773	01314948-v	🞀	5	divine
47774	01318223-v	🞁	5	
47775	01318937-a	🞂	5	
47776	01319685-n	🞃	5	bycatch
47777	01320513-v	🞄	5	
47778	01320692-n	🞅	5	
47779	01320816-v	🞆	5	
47780	01322223-v	🞇	5	etch
47781	01323261-n	🞈	5	suckling
47782	01324565-a	🞉	5	
47783	01324683-a	🞊	5	
47784	01325017-a	🞋	5	
47785	01325536-v	🞌	5	
47786	01327020-v	🞍	5	brain
47787	01327925-a	🞎	5	
47788	01330567-v	🞏	5	backstitch
47789	01330822-v	🞐	5	
47790	01332907-a	🞑	5	highbrow
47791	01333886-a	🞒	5	
47792	01335708-a	🞓	5	
47793	01337092-v	🞔	5	hood
47794	01337314-a	🞕	5	
47795	01337734-n	🞖	5	poliovirus
47796	01338537-n	🞗	5	rhinovirus
47797	01340014-n	🞘	5	
47798	01340028-v	🞙	5	
47799	01342012-v	🞚	5	
47800	01342224-v	🞛	5	unzip
47801	01342269-n	🞜	5	
47802	01342529-n	🞝	5	
47803	01342755-v	🞞	5	belay
47804	01343204-v	🞟	5	
47805	01347298-v	🞠	5	
47806	01349893-v	🞡	5	gather
47807	01350485-n	🞢	5	
47808	01350701-n	🞣	5	
47809	01352059-n	🞤	5	
47810	01352574-n	🞥	5	
47811	01352996-v	🞦	5	
47812	01353618-a	🞧	5	
47813	01353670-v	🞨	5	zip
47814	01354521-n	🞩	5	
47815	01354724-n	🞪	5	
47816	01355207-a	🞫	5	intrusive
47817	01355378-a	🞬	5	plutonic
47818	01355906-v	🞭	5	put through
47819	01357156-n	🞮	5	
47820	01358363-a	🞯	5	
47821	01360804-a	🞰	5	
47822	01360937-n	🞱	5	
47823	01361107-a	🞲	5	
47824	01364357-v	🞳	5	
47825	01367211-a	🞴	5	elated
47826	01367772-n	🞵	5	
47827	01368338-n	🞶	5	
47828	01369204-v	🞷	5	
47829	01370126-v	🞸	5	
47830	01370260-n	🞹	5	
47831	01373314-a	🞺	5	
47832	01373826-n	🞻	5	
47833	01373844-v	🞼	5	
47834	01374183-a	🞽	5	
47835	01375760-n	🞾	5	
47836	01376620-v	🞿	5	
47837	01377239-v	🟀	5	
47838	01379636-n	🟁	5	
47839	01381196-a	🟂	5	oceanic
47840	01381796-v	🟃	5	
47841	01381913-v	🟄	5	
47842	01382699-n	🟅	5	
47843	01384752-v	🟆	5	
47844	01385920-v	🟇	5	
47845	01388809-a	🟈	5	
47846	01392080-v	🟉	5	plume
47847	01392663-v	🟊	5	
47848	01392843-n	🟋	5	
47849	01393753-n	🟌	5	
47850	01394744-a	🟍	5	
47851	01394812-v	🟎	5	
47852	01395028-a	🟏	5	smallish
47853	01395095-a	🟐	5	small-scale
47854	01395254-n	🟑	5	
47855	01396937-v	🟒	5	
47856	01397251-a	🟓	5	lead-free
47857	01399772-n	🟔	5	
47858	01403314-v	🟕	5	tap
47859	01405858-n	🟖	5	
47860	01406180-a	🟗	5	
47861	01406736-n	🟘	5	
47862	01408421-a	🟙	5	wrongful
47863	01408958-v	🠀	5	slice
47864	01409244-n	🠁	5	
47865	01409665-n	🠂	5	
47866	01409940-n	🠃	5	
47867	01410905-a	🠄	5	
47868	01411450-n	🠅	5	
47869	01413917-v	🠆	5	cut
47870	01413942-n	🠇	5	
47871	01416354-n	🠈	5	
47872	01416585-n	🠉	5	
47873	01417451-a	🠊	5	
47874	01417705-v	🠋	5	
47875	01420765-v	🠐	5	
47876	01421368-a	🠑	5	
47877	01423285-v	🠒	5	
47878	01425300-a	🠓	5	
47879	01428580-n	🠔	5	
47880	01429349-n	🠕	5	
47881	01430952-v	🠖	5	
47882	01432517-n	🠗	5	
47883	01432712-a	🠘	5	
47884	01432914-v	🠙	5	spirit away
47885	01434717-a	🠚	5	
47886	01436518-v	🠛	5	
47887	01437011-v	🠜	5	
47888	01439808-n	🠝	5	
47889	01442203-v	🠞	5	peg
47890	01443398-n	🠟	5	
47891	01444620-a	🠠	5	
47892	01444723-v	🠡	5	
47893	01445027-v	🠢	5	
47894	01445235-v	🠣	5	
47895	01449354-a	🠤	5	
47896	01449374-n	🠥	5	
47897	01449980-n	🠦	5	molly
47898	01451402-a	🠧	5	
47899	01452057-v	🠨	5	
47900	01453969-v	🠩	5	
47901	01455412-a	🠪	5	
47902	01456341-v	🠫	5	heft
47903	01456977-a	🠬	5	stentorian
47904	01457692-a	🠭	5	
47905	01458616-n	🠮	5	
47906	01459664-n	🠯	5	
47907	01460785-v	🠰	5	
47908	01460963-n	🠱	5	chalaza
47909	01461152-v	🠲	5	
47910	01461445-n	🠳	5	
47911	01462803-n	🠴	5	morula
47912	01463212-v	🠵	5	felt
47913	01463326-a	🠶	5	
47914	01463414-a	🠷	5	lovelorn
47915	01463739-n	🠸	5	
47916	01464441-n	🠹	5	
47917	01465365-v	🠺	5	geminate
47918	01467180-n	🠻	5	
47919	01469263-v	🠼	5	
47920	01470524-v	🠽	5	
47921	01470856-v	🠾	5	
47922	01473346-v	🠿	5	
47923	01473990-n	🡀	5	
47924	01476325-a	🡁	5	
47925	01477373-n	🡂	5	
47926	01477394-v	🡃	5	
47927	01477704-v	🡄	5	
47928	01478907-a	🡅	5	
47929	01480469-v	🡆	5	
47930	01481819-v	🡇	5	
47931	01484027-v	🡐	5	
47932	01484083-a	🡑	5	
47933	01484451-a	🡒	5	
47934	01484714-v	🡓	5	
47935	01486540-n	🡔	5	carpet shark
47936	01487573-v	🡕	5	
47937	01487627-a	🡖	5	
47938	01488313-v	🡗	5	
47939	01488856-a	🡘	5	
47940	01490257-a	🡙	5	
47941	01490360-n	🡠	5	
47942	01492944-v	🡡	5	
47943	01493541-n	🡢	5	
47944	01493807-a	🡣	5	
47945	01496462-a	🡤	5	
47946	01496592-a	🡥	5	
47947	01497245-a	🡦	5	meaty
47948	01497878-n	🡧	5	
47949	01499265-v	🡨	5	
47950	01499999-a	🡩	5	
47951	01501160-n	🡪	5	
47952	01504437-n	🡫	5	
47953	01505058-v	🡬	5	
47954	01507596-v	🡭	5	precipitate
47955	01508268-v	🡮	5	egg
47956	01509367-a	🡯	5	
47957	01514374-a	🡰	5	
47958	01514598-a	🡱	5	
47959	01514887-v	🡲	5	
47960	01515303-n	🡳	5	migrant
47961	01515566-v	🡴	5	
47962	01515924-v	🡵	5	
47963	01518047-v	🡶	5	
47964	01518694-a	🡷	5	martial
47965	01518718-n	🡸	5	
47966	01519727-v	🡹	5	
47967	01520284-n	🡺	5	
47968	01523270-v	🡻	5	
47969	01525295-v	🡼	5	malfunction
47970	01526605-v	🡽	5	
47971	01527194-n	🡾	5	
47972	01529906-v	🡿	5	
47973	01530098-v	🢀	5	
47974	01530575-n	🢁	5	
47975	01530846-n	🢂	5	
47976	01532829-n	🢃	5	
47977	01533000-n	🢄	5	
47978	01533806-a	🢅	5	
47979	01534043-v	🢆	5	scavenge
47980	01534433-n	🢇	5	junco
47981	01534582-n	🢐	5	
47982	01534745-v	🢑	5	
47983	01535690-n	🢒	5	
47984	01536344-v	🢓	5	
47985	01536508-v	🢔	5	pan
47986	01536641-a	🢕	5	ultramodern
47987	01536644-n	🢖	5	
47988	01538362-n	🢗	5	
47989	01539444-a	🢘	5	
47990	01539925-n	🢙	5	
47991	01541102-n	🢚	5	
47992	01542056-v	🢛	5	
47993	01542525-v	🢜	5	drape
47994	01542786-n	🢝	5	
47995	01542865-a	🢞	5	monoecious
47996	01546222-a	🢟	5	
47997	01548301-n	🢠	5	kingbird
47998	01550172-n	🢡	5	firebird
47999	01550572-a	🢢	5	
48000	01550594-v	🢣	5	
48001	01550817-v	🢤	5	bisect
48002	01551679-v	🢥	5	cicatrise
48003	01554063-a	🢦	5	
48004	01554708-n	🢧	5	
48005	01555004-n	🢨	5	
48006	01555034-v	🢩	5	
48007	01558218-v	🢪	5	
48008	01558765-n	🢫	5	
48009	01558883-v	🢬	5	
48010	01559639-n	🢭	5	veery
48011	01559964-n	🢰	5	
48012	01560419-n	🢱	5	
48013	01560821-a	🢲	5	
48014	01561583-v	🢳	5	smash
48015	01561732-n	🢴	5	
48016	01561771-a	🢵	5	
48017	01561819-v	🢶	5	
48018	01563128-n	🢷	5	
48019	01564881-a	🢸	5	
48020	01565252-a	🢹	5	
48021	01565608-a	🢺	5	
48022	01567183-v	🢻	5	stub
48023	01569060-n	🣀	5	
48024	01569166-a	🣁	5	
48025	01570403-v	🤀	5	
48026	01570562-v	🤁	5	
48027	01571904-n	🤂	5	
48028	01572978-v	🤃	5	
48029	01573360-n	🤄	5	
48030	01573898-n	🤅	5	
48031	01574045-n	🤆	5	blackbird
48032	01574077-v	🤇	5	grate
48033	01575388-v	🤈	5	
48034	01575401-n	🤉	5	
48035	01575536-v	🤊	5	
48036	01576506-n	🤋	5	
48037	01577035-n	🤻	5	
48038	01577513-v	🥆	5	
48039	01578180-n	🨀	5	
48040	01578575-n	🨁	5	
48041	01578821-n	🨂	5	
48042	01581217-v	🨃	5	
48043	01581874-n	🨄	5	
48044	01582306-a	🨅	5	
48045	01583494-v	🨆	5	
48046	01589286-n	🨇	5	
48047	01589650-a	🨈	5	
48048	01589893-n	🨉	5	
48049	01590171-v	🨊	5	
48050	01591621-v	🨋	5	
48051	01591699-a	🨌	5	
48052	01591835-v	🨍	5	placard
48053	01591940-v	🨎	5	stake
48054	01593553-n	🨏	5	
48055	01594157-n	🨐	5	
48056	01595697-v	🨑	5	
48057	01595974-n	🨒	5	
48058	01596608-n	🨓	5	
48059	01597240-a	🨔	5	
48060	01600355-v	🨕	5	
48061	01600873-v	🨖	5	croquet
48062	01602112-a	🨗	5	
48063	01605081-a	🨘	5	
48064	01605753-a	🨙	5	
48065	01606205-v	🨚	5	
48066	01607072-v	🨛	5	
48067	01607288-v	🨜	5	
48068	01608814-n	🨝	5	
48069	01609549-n	🨞	5	
48070	01609956-n	🨟	5	
48071	01610100-n	🨠	5	
48072	01610101-v	🨡	5	
48073	01611240-v	🨢	5	
48074	01611359-v	🨣	5	
48075	01612476-n	🨤	5	
48076	01612964-v	🨥	5	beplaster
48077	01614195-n	🨦	5	
48078	01614372-a	🨧	5	
48079	01614556-n	🨨	5	
48080	01615785-a	🨩	5	verifiable
48081	01618547-v	🨪	5	
48082	01620436-v	🨫	5	self-destruct
48083	01620854-v	🨬	5	
48084	01621084-v	🨭	5	
48085	01621219-v	🨮	5	
48086	01621418-v	🨯	5	interdict
48087	01622302-a	🨰	5	
48088	01622352-n	🨱	5	
48089	01623706-n	🨲	5	scops owl
48090	01625044-v	🨳	5	churn out
48091	01625417-n	🨴	5	
48092	01626562-a	🨵	5	
48093	01628450-n	🨶	5	
48094	01629681-a	🨷	5	
48095	01630751-v	🨸	5	
48096	01632103-v	🨹	5	schematize
48097	01633490-a	🨺	5	semiofficial
48098	01635633-a	🨻	5	
48099	01639187-n	🨼	5	siren
48100	01639891-a	🨽	5	
48101	01639973-a	🨾	5	immemorial
48102	01640846-n	🨿	5	
48103	01641648-a	🩀	5	
48104	01641791-a	🩁	5	
48105	01642379-a	🩂	5	parvenu
48106	01643297-v	🩃	5	
48107	01645421-v	🩄	5	
48108	01647867-v	🩅	5	
48109	01649251-v	🩆	5	
48110	01649561-a	🩇	5	
48111	01650401-a	🩈	5	online
48112	01652731-v	🩉	5	
48113	01654083-n	🩊	5	
48114	01654957-n	🩋	5	
48115	01655162-a	🩌	5	
48116	01657723-n	🩍	5	
48117	01660444-a	🩎	5	
48118	01662614-v	🩏	5	
48119	01663782-n	🩐	5	
48120	01663920-v	🩑	5	
48121	01664065-n	🩒	5	loggerhead turtle
48122	01665541-n	🩓	5	leatherback
48123	01666126-a	🩠	5	
48124	01666228-n	🩡	5	
48125	01669547-v	🩢	5	tool
48126	01671732-a	🩣	5	structured
48127	01671874-n	🩤	5	
48128	01672014-v	🩥	5	
48129	01674604-a	🩦	5	
48130	01676993-a	🩧	5	
48131	01680756-v	🩨	5	animalize
48132	01683036-n	🩩	5	
48133	01683271-v	🩪	5	fresco
48134	01683908-a	🩫	5	anomic
48135	01684133-a	🩬	5	disoriented
48136	01686626-v	🩭	5	
48137	01686906-a	🬀	5	
48138	01687876-v	🬁	5	
48139	01687965-a	🬂	5	
48140	01689169-v	🬃	5	
48141	01690020-v	🬄	5	
48142	01690448-a	🬅	5	conformist
48143	01691798-v	🬆	5	
48144	01692266-v	🬇	5	capitalise
48145	01693020-n	🬈	5	
48146	01694263-v	🬉	5	
48147	01695749-a	🬊	5	crusty
48148	01698610-a	🬋	5	
48149	01698782-n	🬌	5	
48150	01699838-a	🬍	5	
48151	01701334-n	🬎	5	
48152	01702154-v	🬏	5	alliterate
48153	01704323-n	🬐	5	
48154	01704626-n	🬑	5	
48155	01705195-a	🬒	5	
48156	01708249-a	🬓	5	
48157	01709437-a	🬔	5	prepaid
48158	01712752-n	🬕	5	
48159	01715997-v	🬖	5	rap
48160	01716112-v	🬗	5	
48161	01716283-v	🬘	5	
48162	01717467-n	🬙	5	
48163	01717901-a	🬚	5	
48164	01718609-a	🬛	5	collateral
48165	01718755-v	🬜	5	
48166	01718952-v	🬝	5	
48167	01720773-v	🬞	5	
48168	01722815-v	🬟	5	
48169	01724185-v	🬠	5	
48170	01724551-a	🬡	5	passable
48171	01725713-n	🬢	5	
48172	01728476-a	🬣	5	
48173	01728919-a	🬤	5	
48174	01729157-a	🬥	5	
48175	01729384-a	🬦	5	
48176	01730663-v	🬧	5	
48177	01732958-a	🬨	5	
48178	01733667-v	🬩	5	
48179	01734267-a	🬪	5	fatherless
48180	01735189-n	🬫	5	grass snake
48181	01736122-a	🬬	5	
48182	01738107-v	🬭	5	
48183	01739099-v	🬮	5	build
48184	01742912-a	🬯	5	
48185	01744111-a	🬰	5	
48186	01745846-a	🬱	5	
48187	01746604-v	🬲	5	gazette
